Company,Classification_Code,Referenced_Text,Specific_Rubric,Ground_Truth_Score,Predicted_Score
YouTube,serv_chg,"YouTube is constantly changing and improving the Service. As part of this continual evolution of our digital content and services, we may make modifications or changes (to all or part of the Service) such as adding or removing features and functionalities, offering new digital content or services or discontinuing old ones. We may also change the Service for these other reasons:to adapt to new technologiesto reflect increases or decreases in the number of people who use a particular product, service or featureto respond to key changes in the licences and partnerships we have with othersto prevent abuse or harmto address legal, regulatory, safety or security issues.","-1: When the company reserves the right to change the service without a valid reason (when the ToS state, that the company can always change the service or does not state any requriements at all). A service change is a situation, where a company unilaterally modifies the service, by changing existing design, adding or removing features, modyfing purpose of the service, etc.
0: When the company reserves the right to change the service without a valid reason specified in the contract (the company reserves the right to change the service in a vague way, by using non-precise, general reasons that are hard to interpret by the consumer and give the company freedom to understand them broader than necessary)
1: When the company reserves the right to change the service with a valid reason specified in the contract or does not reserve a right to unilaterally change it at all",0,0
YouTube,cnt_del,"If we reasonably believe that any of your Content (1) is in breach of this Agreement or (2) may cause harm to YouTube, our users, or third parties, we reserve the right to remove or take down some or all of such Content. We will notify you with the reason for our action unless we reasonably believe that to do so: (a) would violate the law or the direction of a legal enforcement authority, or would otherwise risk legal liability for YouTube or our Affiliates; (b) would compromise an investigation or the integrity or operation of the Service; or (c) would cause harm to any user, other third party, YouTube or our Affiliates. You can learn more about reporting and enforcement, including how to appeal on the Troubleshooting page of our Help Center.","-1: When a company reserves a right to delete all content put in the service by the user without restrictions
0: When a company reserves a right to delete only the content put in the service by the user that is illegal or violates Terms of Service
1: When a company does not reserve a right to delete content put in the service by the user",0,0
YouTube,acc_sus,"YouTube reserves the right to suspend or terminate your Google account or your access to all or part of the Service if: (a) you materially or repeatedly breach this Agreement; (b) we are required to do so to comply with a legal requirement or a court order; or (c) we reasonably believe there has been conduct that creates liability or harm to any user, other third party, YouTube or our Affiliates.","-1: When the company reserves the right to suspend a user’s account without serious grounds or a notice period
0: When the company reserves the right to suspend a user’s account without serious grounds but with a notice period or with serious grounds but without a notice period
1: When the company reserves the right to suspend a user’s account only with serious grounds and a notice period or does not reserve a right to suspend it at all",0,0
YouTube,acc_del,"YouTube reserves the right to suspend or terminate your Google account or your access to all or part of the Service if: (a) you materially or repeatedly breach this Agreement; (b) we are required to do so to comply with a legal requirement or a court order; or (c) we reasonably believe there has been conduct that creates liability or harm to any user, other third party, YouTube or our Affiliates.","-1: When the company reserves the right to delete a user’s account without serious grounds or a notice period. By serious grounds we understood situations, where activity of the user was clearly illegal or violated crucial provisions of ToS. The notice period should be reasonably long, to allow the user preparation for termination of contract.
0: When the company reserves the right to delete a user’s account without serious grounds but with a notice period or with serious grounds but without a notice period.
1: When the company reserves the right to delete a user’s account only with serious grounds and a notice period or does not reserve a right to delete it at all",0,0
YouTube,ltd,"To the extent permitted by applicable law, YouTube and its Affiliates will not be responsible for:losses that were not caused by YouTube or its Affiliates’ breach of this Agreement;any loss or damage that was not, at the time that this Agreement was formed between you and YouTube, a reasonably foreseeable consequence of YouTube or its Affiliates breaching this Agreement; orthe Content submitted by any user, or for the defamatory, offensive, or illegal conduct of any user.","-1: Unlawful limitation of liablility for damages connected with the use of service, when the company limits its liability for at least one of the following: (a) personal injury or (b) non-performance against consumers or (c) intentionally caused damage
0: Lawful limitation - any other than unlawful limitation, for example ""Provided that we have acted with professional diligence, we do not accept responsibility for losses not caused by our breach of these Terms""
1: Lack of limitation",0,0
YouTube,ltd_cap,"YouTube and its Affiliates’ total liability for any claims arising from or relating to the Service is limited to the greater of: (a) the amount of revenue that YouTube has paid to you from your use of the Service in the 12 months before the date of your notice, in writing to YouTube, of the claim and (b) €500, whichever is higher.","-1: Everyone entitled to the damages connected with using the service may claim them only to a certain amount
0: Only Businesses entitled to the damages connected with using the service may claim them only to a certain amount
1: There is no max amount of the damages possible to be claimed",0,-1
YouTube,contr_chg,"We may change this Agreement (1) to reflect changes to our Service or how we do business - for example, when we add new products or features or remove old ones, (2) for legal, regulatory, or security reasons, or (3) to prevent abuse or harm.","-1: When the company reserves the right to change the contract without a valid reason (the ToS state the company can always change the contract)
0: When the company reserves the right to change the contract for a reason specified in the contract, but the reasons are vague or were not all stated in a contract
1: When the company reserves the right to change the contract with a valid reason specified in the contract or does not reserve a right to change it at all",0,1
YouTube,sever,"If it turns out that a particular term of this Agreement is not enforceable for any reason, this will not affect any other terms.","-1: -
0: The ToS contains provisions that keep the remaining part of the contract in force in case a court declare one or more of its provisions unconstitutional, void, or unenforceable (severability clauses)
1: Lack of severability clauses",0,0
SQUARE ENIX,serv_chg,"Square Enix may immediately suspend or terminate the availability of some or all of the Services for any reason, in Square Enix’s sole discretion, without advance notice or liability.","-1: When the company reserves the right to change the service without a valid reason (when the ToS state, that the company can always change the service or does not state any requriements at all). A service change is a situation, where a company unilaterally modifies the service, by changing existing design, adding or removing features, modyfing purpose of the service, etc.
0: When the company reserves the right to change the service without a valid reason specified in the contract (the company reserves the right to change the service in a vague way, by using non-precise, general reasons that are hard to interpret by the consumer and give the company freedom to understand them broader than necessary)
1: When the company reserves the right to change the service with a valid reason specified in the contract or does not reserve a right to unilaterally change it at all",-1,-1
SQUARE ENIX,acc_sus,"Square Enix may suspend or terminate your Account at any time and for any reason, including if Square Enix believes you have violated these Terms of Service. ","-1: When the company reserves the right to suspend a user’s account without serious grounds or a notice period
0: When the company reserves the right to suspend a user’s account without serious grounds but with a notice period or with serious grounds but without a notice period
1: When the company reserves the right to suspend a user’s account only with serious grounds and a notice period or does not reserve a right to suspend it at all",-1,-1
