split,eval_text,nearest_train_text,cosine_similarity
test,Data Collected,Data collected,1.0
test,HOW WE COLLECT YOUR PERSONAL INFORMATION,How We Collect Your Personal Information,1.0
test,The service is provided “as is”,The Service is provided “as is”,1.0
validation,how is it used,How It Is Used,1.0
validation,IP Address,IP address,1.0
test,"YOUR USE OF THE SERVICE IS AT YOUR SOLE RISK.
THE SERVICE IS PROVIDED ON AN ""AS IS"" AND ""AS AVAILABLE"" BASIS.","Your use of the Service is at your sole risk.
The Service is provided on an ""AS IS"" and ""AS AVAILABLE"" basis.",1.0
test,What personal data do we collect,WHAT PERSONAL DATA DO WE COLLECT,1.0
test,Information We Collect,INFORMATION WE COLLECT,1.0
validation,"<li>your IP address,","<li>Your IP address,",1.0
test,How We Use It,how we use it,1.0
test,Your continued use of our Services after we publish or send a notice about our changes to these terms means that you are consenting to the updated terms.,Your continued use of our Services after we publish or send a notice about our changes to these Terms means that you are consenting to the updated terms.,1.0
test,"<p>
<strong>If at any time you would like to unsubscribe from receiving future emails, you can email us at:</strong>
</p>
<ul>
<li>Follow the instructions at the bottom of each email.</li>
</ul>
<p>and we will promptly remove you from <strong>ALL</strong> correspondence.</p>","<strong>If at any time you would like to unsubscribe from receiving future emails, you can email us at:</strong>
</p>
<ul>
<li>Follow the instructions at the bottom of each email.</li>
</ul>
<p>and we will promptly remove you from <strong>ALL</strong> correspondence.</p>
<p>",1.0
test,How we use personal data,How We Use Personal Data,1.0
validation,"You will settle any dispute as an individual, and not as part of a class action or other representative proceeding, whether as the plaintiff or a class member.","You will settle any Dispute as an
individual, and not as part of a class action or other representative
proceeding, whether as the plaintiff or a class member.",0.9999999999999999
test,How we use the information,HOW WE USE THE INFORMATION,0.9999999999999996
validation,AND YOU WAIVE YOUR RIGHT TO PARTICIPATE IN A CLASS ACTION LAWSUIT OR CLASS-WIDE ARBITRATION.,YOU WAIVE YOUR RIGHT TO PARTICIPATE IN A CLASS ACTION LAWSUIT OR CLASS-WIDE ARBITRATION.,0.9979655500114899
validation,California Consumer Privacy Act (CCPA),the California Consumer Privacy Act (CCPA),0.997353654107275
test,"is threatening, abusive, harassing, defamatory, libelous,","threatening, abusive, harassing, defamatory, libelous,",0.9972369425860311
test,"To the fullest extent permitted by applicable law, Twitch reserves the right to remove, screen, or edit any User Content posted or stored on the Twitch Services at any time and without notice, including where such User Content violates these Terms of Service or applicable law, and you are solely responsible for creating backup copies of and replacing any User Content you post or store on the Twitch Services at your sole cost and expense. Any use of the Twitch Services in violation of the foregoing violates these Terms of Service and may result in, among other things, termination or suspension of your rights to use the Twitch Services.","To the fullest extent permitted by applicable law, Twitch reserves the right to remove, screen, or edit any User Content posted or stored on the Twitch Services at any time and without notice, including where such User Content violates these Terms of Service or applicable law, and you are solely responsible for creating backup copies of and replacing any User Content you post or store on the Twitch Services at your sole cost and expense.
Any use of the Twitch Services in violation of the foregoing violates these Terms of Service and may result in, among other things, termination or suspension of your rights to use the Twitch Services.</p>",0.9969744750903501
validation,"If any provision of these Terms of Service is found by a court of competent jurisdiction to be invalid, the parties nevertheless agree that the court should endeavor to give effect to the parties’ intentions as reflected in the provision, and the other provisions of these Terms of Service remain in full force and effect.","If any provision of these Terms of Service is found by a court of competent jurisdiction to be invalid, the parties nevertheless agree that the court should endeavor to give effect to the parties’ intentions as reflected in the provision, and the other provisions of the Terms of Service remain in full force and effect.",0.9968422313240172
validation,"IN NO EVENT WILL YOU OR WE HAVE ANY LIABILITY TO THE OTHER FOR ANY LOST PROFITS OR REVENUES OR FOR ANY INDIRECT, SPECIAL, INCIDENTAL, CONSEQUENTIAL, COVER OR PUNITIVE DAMAGES HOWEVER CAUSED, WHETHER IN CONTRACT, TORT OR UNDER ANY OTHER THEORY OF LIABILITY, AND WHETHER OR NOT THE PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES. UNLESS YOU ARE ALSO A CUSTOMER (AND WITHOUT LIMITATION TO OUR RIGHTS AND REMEDIES UNDER THE CONTRACT), YOU WILL HAVE NO FINANCIAL LIABILITY TO US FOR A BREACH OF THESE USER TERMS.","IN NO EVENT WILL YOU OR WE HAVE ANY LIABILITY TO THE OTHER FOR ANY LOST PROFITS OR REVENUES OR FOR ANY INDIRECT, SPECIAL, INCIDENTAL, CONSEQUENTIAL, COVER OR PUNITIVE DAMAGES HOWEVER CAUSED, WHETHER IN CONTRACT, TORT OR UNDER ANY OTHER THEORY OF LIABILITY, AND WHETHER OR NOT THE PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES UNLESS YOU ARE ALSO A CUSTOMER (AND WITHOUT LIMITATION TO OUR RIGHTS AND REMEDIES UNDER THE CONTRACT), YOU WILL HAVE NO FINANCIAL LIABILITY TO US FOR A BREACH OF THESE USER TERMS.",0.9965274629466111
test,"Our Services do not support Do Not Track requests at this time, which means that we collect information about your online activity both while you are using the Services and after you leave our Services","Our Services do not support Do Not Track requests at this time, which means that we collect information about your online activity both while you are using the Services and after you leave the Services",0.9964220406862857
test,Continued use of the Service after such changes shall constitute your consent to such changes.,Continued use of the Service after any such changes shall constitute your consent to such changes.,0.9963828553431759
validation,Our failure to exercise or enforce any right or provision of the Terms shall not constitute a waiver of such right or provision.,Our failure to exercise or enforce any right or provision of the Terms of Use shall not constitute a waiver of such right or provision.,0.9958329371087904
test,Our failure to exercise or enforce any right or provision of these Terms of Use shall not operate as a waiver of such right or provision.,"Our failure to exercise or enforce
any right or provision of these Terms shall not operate as a waiver of such right
or provision.",0.9957171968322193
test,Provide you with targeted advertising based on your activity on our sites and applications and on third-party sites and applications.,- Provide you with targeted advertising based on your activity on our sites and applications and on third-party sites and applications.,0.9956484762043665
test,"Public (discoverable and searchable) viewable content or materials of any kind (text, graphics,
images, photographs, sounds, etc.) that in our reasonable judgment may be found objectionable or
inappropriate, for example, materials that may be considered obscene, pornographic, or defamatory will be
removed from public access.","Public (discoverable and searchable) viewable content or materials of any kind (text, graphics,
images, photographs, sounds, etc.) that in our reasonable judgment may be found objectionable or
inappropriate, for example, materials that may be considered obscene, pornographic, or defamatory will be
removed from public access.
<br>",0.9947825288331387
validation,"<p>TO THE FULLEST EXTENT PERMITTED BY APPLICABLE LAW, SULAKE SHALL NOT BE LIABLE TO YOU FOR ANY DIRECT, INDIRECT, INCIDENTAL, CONSEQUENTIAL, SPECIAL, PUNITIVE OR OTHER SIMILAR DAMAGES, INCLUDING BUT NOT LIMITED TO LOSS OF REVENUES, LOST PROFITS, LOST DATA OR BUSINESS INTERRUPTION OR OTHER INTANGIBLE LOSSES (HOWEVER SUCH LOSSES ARE QUALIFIED), ARISING OUT OF OR RELATING IN ANY WAY TO YOUR ACCESS TO AND USE OF THE SERVICE AND YOUR RIGHTS UNDER THESE TERMS OF SERVICE OR ANY APPLICABLE ADDITIONAL TERMS, WHETHER BASED ON CONTRACT, TORT OR ANY OTHER LEGAL THEORY, AND WHETHER OR NOT SULAKE HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.","TO THE FULLEST EXTENT PERMITTED BY APPLICABLE LAW, SULAKE SHALL NOT BE LIABLE TO YOU FOR ANY DIRECT, INDIRECT, INCIDENTAL, CONSEQUENTIAL, SPECIAL, PUNITIVE OR OTHER SIMILAR DAMAGES, INCLUDING BUT NOT LIMITED TO LOSS OF REVENUES, LOST PROFITS, LOST DATA OR BUSINESS INTERRUPTION OR OTHER INTANGIBLE LOSSES (HOWEVER SUCH LOSSES ARE QUALIFIED), ARISING OUT OF OR RELATING IN ANY WAY TO YOUR ACCESS TO AND USE OF THE SERVICE AND YOUR RIGHTS UNDER THESE TERMS OF SERVICE OR ANY APPLICABLE ADDITIONAL TERMS, WHETHER BASED ON CONTRACT, TORT OR ANY OTHER LEGAL THEORY, AND WHETHER OR NOT SULAKE HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",0.9947007116907309
validation,"UNIDAD EDITORIAL se reserva el derecho de cursar la baja inmediata del Usuario Registrado si considera, a su sola discreción, que el Usuario Registrado está realizando cualquier actividad que constituya o pueda constituir un incumplimiento de estas Condiciones Generales.","UNIDAD EDITORIAL se reserva el derecho de cursar la baja inmediata del Usuario Registrado si considera, a su sola discreción, que el Usuario Registrado está realizando cualquier actividad que constituya o pueda constituir un incumplimiento de estas Condiciones Generales.</p>",0.9943996300236434
validation,Our websites and emails use a technology known as web beacons (also known as an “action tag” or “clear GIF technology”) that allows the collection of web log information,Our websites and emails use a technology known as web beacons (also known as an “action tag” or “clear GIF technology”) that allows the collection of web log information.,0.9942753799345792
test,"We may sell, transfer or otherwise share some or all of our assets, including your Personal Information, in connection with a merger, acquisition, reorganization or sale of assets or in the event of bankruptcy.","We may sell, transfer or otherwise share some or all of its assets, including your Personal Information, in connection with a merger, acquisition, reorganization or sale of assets or in the event of bankruptcy.",0.9941897330958862
validation,"your Internet Protocol
(""IP"") address","Internet Protocol (""IP"") address",0.9937824455408305
validation,Our failure to exercise or enforce any right or provision of these Terms will not operate as a waiver of such right or provision.,The failure of to exercise or enforce any right or provision of these Terms will not operate as a waiver of such right or provision.,0.9937498104121183
validation,"With respect to the content or other materials you upload through the Site or share with other users or recipients (collectively, “User Content”), you represent and warrant that you own all right, title and interest in and to such User Content, including, without limitation, all copyrights and rights of publicity contained therein.","With respect to the content or other materials you upload through the Service or share with other users or recipients (collectively, “User Content”), you represent and warrant that you own all right, title and interest in and to such User Content, including, without limitation, all copyrights and rights of publicity contained therein.",0.9935157874245812
